codigo;titulo;tipo_publicacion;anio_publicacion;indexacion;orden_autor;autores;nombre_afiliacion
5402;Proposal of a Real Time Microservice Architecture Applied to Business Intelligence for the Financial Sector;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;2;Jorge Mauricio Espinoza Mejia;Universidad de Cuenca, Departamento de Ciencias de la Computación
5508;Mortiño (Vaccinium floribundum Kunth): An Underutilized Superplant from the Andes;ARTÍCULO;2022;SCOPUS;5;Jaime Alberto Naranjo Moran;Universidad de Cuenca, Departamento de Ciencias de la Computación
5521;Decision-Making of the University Libraries’ Digital Collection Through the Publication and Citation Patterns Analysis. A Literature Review;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;3;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
5534;Internal Logistics Optimization Based on a Multi-objective Linear Model for Micro, Small, and Medium Textile Enterprises;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;6;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
5537;Technologies Applied to Solve Facility Layout Problems with Resilience – A Systematic Review;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;1;Jorge Alberto Vazquez Mendoza;Universidad de Cuenca, Departamento de Ciencias de la Computación
5560;A Systematic Literature Review of Facility Layout Problems and Resilience Factors in the Industry;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;2;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
5669;Textile Micro, Small and Medium Enterprises (MSME) Layout Dynamics in the Ecuadorian Context;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;4;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
5774;A Methodology to Develop Extended Reality Applications for Exhibition Spaces in Museums;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;1;Dayana Isabel Agudo Guiracocha;Universidad de Cuenca, Departamento de Ciencias de la Computación
5917;Desarrollo y caracterización del posgrado en el campo de conocimiento de las Tecnologías de la Información y Comunicación y sus Procesos de Evaluación y Acreditación a Nivel internacional y en Ecuador;LIBRO;2022;SIN INDEXAR;2;Luis Otto Parra Gonzalez;Universidad de Cuenca, Departamento de Ciencias de la Computación
5922;Towards a method to create microlearning capsules: bullying and cyberbullying domain;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;2;Bertha Cristina Sanchez Zhunio;Universidad de Cuenca, Departamento de Ciencias de la Computación
5942;Virtual Assistants to bring geospatial information closer to a smart citizen;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;2;Rosario  Achig Balarezo;Universidad de Cuenca, Departamento de Ciencias de la Computación
